Code, Name, Standard Deviation, Average, HedgeType, Skewness, latestValue, BuySuggestion
sz002180,艾派克_us_chad,6.97,-14.56,1,-0.118,-11.01,0
sh600889,南京化纤_us_chad,6.99,-26.20,1,-0.054,-40.06,1
sz002301,齐心集团_us_chad,7.01,11.91,1,-0.964,0.62,1
sh600986,科达股份_us_chad,7.02,-25.01,1,-0.147,-32.30,1
sz000901,航天科技_us_chad,7.02,-1.29,1,-0.330,-2.12,0
sz002491,通鼎互联_us_chad,7.03,-19.71,1,0.011,-9.23,2
sz002362,汉王科技_us_chad,7.03,-28.22,1,-0.047,-39.02,1
sz000056,皇庭国际_us_chad,7.04,-20.72,1,-0.018,-26.73,1
sz000920,南方汇通_us_chad,7.04,-23.06,1,-0.015,-17.74,0
us_chad,us_chad_金自天正,7.04,-24.19,1,-0.053,-25.35,0
sh600988,赤峰黄金_us_chad,7.04,-12.07,1,0.116,-11.50,0
sh603899,晨光文具_us_chad,7.05,-3.68,1,-0.076,-10.51,1
sz300040,九洲电气_us_chad,7.06,-19.09,1,-0.069,-22.00,0
sh600779,水井坊_us_chad,7.06,-14.13,1,-0.004,-9.50,0
sz300176,鸿特精密_us_chad,7.07,-21.84,1,0.024,-14.51,2
sz002136,&#x5b89 ;&#x7eb3 ;达_us_chad,7.08,-10.66,1,0.027,-11.18,0
us_chad,us_chad_西南证券,7.09,-11.67,1,-0.067,-22.50,1
sz300240,飞力达_us_chad,7.10,-25.91,1,0.035,-24.84,0
sh603306,华懋科技_us_chad,7.10,-9.74,1,-0.058,-12.12,0
sz000802,北京文化_us_chad,7.10,-17.29,1,-0.088,-29.31,1
sz000988,华工科技_us_chad,7.11,-13.76,1,0.020,-19.70,0
sh600846,同济科技_us_chad,7.12,-23.15,1,-0.074,-36.87,1
sz002258,利尔化学_us_chad,7.13,-16.78,1,-0.076,-27.62,1
sh600080,金花股份_us_chad,7.13,-22.73,1,-0.051,-33.75,1
sz000404,华意压缩_us_chad,7.13,-21.79,1,-0.057,-24.48,0
sh600071,凤凰光学_us_chad,7.14,-18.46,1,0.024,-16.93,0
sz300046,台基股份_us_chad,7.14,-21.34,1,0.010,-31.27,1
sh600738,兰州民百_us_chad,7.14,-19.50,1,-0.045,-31.32,1
sz300290,荣科科技_us_chad,7.14,-13.86,1,0.027,-16.48,0
sz002229,鸿博股份_us_chad,7.14,-21.63,1,0.019,-15.56,2
sh600739,辽宁成大_us_chad,7.15,-9.23,1,-1.621,-14.94,0
sz300019,硅宝科技_us_chad,7.15,-20.29,1,-0.066,-35.08,1
sz002728,台城制药_us_chad,7.16,-11.68,1,-0.097,-23.04,1
sz000415,渤海金控_us_chad,7.16,-18.37,1,-0.108,-22.59,0
sz300234,开尔新材_us_chad,7.17,-18.30,1,-0.053,-27.64,1
us_chad,us_chad_维科精华,7.17,-33.71,1,-0.014,-34.29,0
sz000594,国恒退_us_chad,7.18,-6.92,1,-0.037,-21.77,1
sh600854,春兰股份_us_chad,7.19,-23.64,1,-0.074,-32.22,1
sh600302,标准股份_us_chad,7.19,-30.57,1,-0.063,-39.52,1
sz002753,永东股份_us_chad,7.20,-14.37,1,-0.036,-23.76,1
sz002504,弘高创意_us_chad,7.20,-12.90,1,0.025,-20.48,1
sz000078,海王生物_us_chad,7.20,-25.52,1,-0.054,-26.53,0
sz000815,美利纸业_us_chad,7.20,-8.19,1,-0.024,-21.55,1
sz300296,利亚德_us_chad,7.21,0.22,1,0.110,22.34,2
us_chad,us_chad_国机通用,7.21,-17.62,1,-0.040,-22.29,0
sh600987,航民股份_us_chad,7.21,-11.81,1,-0.002,-20.75,1
sz000627,天茂集团_us_chad,7.23,-20.75,1,-0.075,-33.21,1
sz300455,康拓红外_us_chad,7.23,-23.08,1,-0.069,-23.11,0
sz300391,康跃科技_us_chad,7.23,-21.24,1,-0.084,-30.33,1
sh600706,曲江文旅_us_chad,7.25,-20.46,1,-0.030,-29.13,1
sh600519,贵州茅台_us_chad,7.26,12.14,1,0.021,24.57,2
sz002074,国轩高科_us_chad,7.26,1.08,1,0.032,-1.83,0
sh600293,三峡新材_us_chad,7.26,-17.45,1,0.011,-16.76,0
sz300130,新国都_us_chad,7.26,-25.98,1,-0.068,-36.27,1
sz002510,天汽模_us_chad,7.26,-16.18,1,-0.016,-20.17,0
sz002054,德美化工_us_chad,7.27,-8.95,1,-0.034,-24.92,1
sh600356,恒丰纸业_us_chad,7.27,-8.44,1,-0.050,-15.78,1
sh600976,健民集团_us_chad,7.27,-18.29,1,-0.084,-30.36,1
sh603968,醋化股份_us_chad,7.28,-13.32,1,-0.061,-16.46,0
sz300389,艾比森_us_chad,7.29,-25.97,1,-0.015,-20.80,0
sh600796,钱江生化_us_chad,7.29,-25.89,1,-0.043,-30.67,0
sz002174,游族网络_us_chad,7.29,-10.94,1,-1.260,-19.27,1
sz300218,安利股份_us_chad,7.30,-25.92,1,-0.080,-30.40,0
sz300320,海达股份_us_chad,7.31,-24.87,1,-0.071,-34.48,1
us_chad,us_chad_恒瑞医药,7.31,23.33,1,-0.014,19.89,0
sz000568,泸州老窖_us_chad,7.31,2.65,1,-0.068,-7.28,1
sz300351,永贵电器_us_chad,7.32,-19.34,1,-0.201,-26.19,1
sz000912,泸天化_us_chad,7.33,-21.47,1,-0.056,-22.39,0
sz300355,蒙草抗旱_us_chad,7.34,-9.29,1,-0.010,-29.45,1
us_chad,us_chad_黄山旅游,7.34,4.10,1,0.049,13.30,2
sz300163,先锋新材_us_chad,7.35,-8.33,1,-0.016,-18.10,1
sz000962,*ST;东钽_us_chad,7.35,-18.15,1,-0.078,-18.94,0
sz002723,金莱特_us_chad,7.36,-13.78,1,-0.026,-7.58,0
sz300429,强力新材_us_chad,7.36,-0.96,1,-0.197,-2.59,0
sz002606,大连电瓷_us_chad,7.37,-21.76,1,0.030,-18.36,0
sz000628,高新发展_us_chad,7.37,-14.26,1,-0.067,-27.25,1
sz002468,艾迪西_us_chad,7.37,-1.61,1,0.252,9.01,1
sh603328,依顿电子_us_chad,7.38,-13.64,1,-0.083,-17.84,0
sh603609,禾丰牧业_us_chad,7.39,-13.25,1,-0.078,-8.55,0
sz000610,西安旅游_us_chad,7.39,-23.89,1,-0.087,-33.40,1
sz002598,山东章鼓_us_chad,7.39,-18.41,1,-0.050,-24.38,0
sh600438,通威股份_us_chad,7.39,-14.66,1,-0.064,-2.30,2
sh603015,弘讯科技_us_chad,7.40,-17.26,1,-0.079,-27.80,1
us_chad,us_chad_*ST;狮头,7.40,-10.09,1,-0.007,-20.02,1
sz002431,棕榈股份_us_chad,7.41,-9.65,1,-0.015,-13.80,0
sh600279,重庆港九_us_chad,7.41,-20.63,1,-0.042,-32.37,1
sz300344,太空板业_us_chad,7.41,-24.72,1,-0.147,-30.69,1
sz000036,华联控股_us_chad,7.42,-12.99,1,0.025,-9.26,0
sz002730,电光科技_us_chad,7.42,8.38,1,-0.675,-1.62,1
sz300206,理邦仪器_us_chad,7.42,-28.25,1,-0.074,-31.48,0
sz002094,青岛金王_us_chad,7.43,-4.36,1,0.106,6.19,2
sz300408,三环集团_us_chad,7.43,-8.13,1,-0.088,-17.85,1
sz000985,大庆华科_us_chad,7.43,-11.55,1,-0.002,-18.81,1
sz000560,昆百大Ａ_us_chad,7.44,-19.40,1,-0.053,-26.40,1
us_chad,us_chad_上汽集团,7.44,0.94,1,-0.039,-1.11,0
sz002105,信隆实业_us_chad,7.45,-22.66,1,-0.034,-27.96,0
sz002638,勤上光电_us_chad,7.45,-3.52,1,-0.079,-1.69,0
sz000028,国药一致_us_chad,7.45,1.19,1,-0.037,-8.41,1
sh603020,爱普股份_us_chad,7.46,-13.00,1,-0.064,-17.52,0
sz000010,美丽生态_us_chad,7.46,-26.54,1,-0.048,-29.17,0
sz002034,&#x7f8e ;&#x6b23 ;达_us_chad,7.46,-18.30,1,0.005,-19.47,0
sh600980,北矿磁材_us_chad,7.46,-15.79,1,-0.062,-22.30,1
sz002071,长城影视_us_chad,7.46,-23.78,1,-0.125,-27.64,0
sh601689,拓普集团_us_chad,7.46,-15.62,1,-0.022,-9.34,0
us_chad,us_chad_济川药业,7.46,-0.31,1,-0.058,0.23,0
sh600985,雷鸣科化_us_chad,7.47,-18.99,1,-0.106,-31.16,1
sz300107,建新股份_us_chad,7.47,-25.22,1,-0.089,-35.33,1
